Artist	Cover Artist	Full Title	Image Files	Plot	Publisher	Series	Writer	Issue No.	Barcode
Barry Kitson; Kano; Carmine Di Giandomenico	Salvador Larroca	Palmer Addley is Dead, Part 2		Written by NICK SPENCER Penciled by BARRY KITSON Covers by SALVADOR LARROCA Variant Cover by MARKO DJURDJEVIC Spinning directly out of INVINCIBLE IRON MAN! New mission! New armor! New Iron Man! Lt. Col. James Rhodes is War Machine?the single most advanced one-man weapon of conventional combat. But wars aren't fought?the way they used to be - and when Rhodey has to face a?mysterious enemy he can't shoot, can't bomb, can't even see, he's going to be forced to evolve?or die. Find out why War Machine becomes Iron Man 2.0 in the 3-part launch arc?of this all-new ongoing series! By breakout sensation Nick Spencer (Morning Glories, Action Comics) and the legendary Barry Kitson (INCREDIBLE HULKS, THE ORDER)! 32 PGS./Rated T+	Marvel Comics	Iron Man 2.0	Nick Spencer	2	75960607068800211
Ryan Stegman	Ryan Stegman	The Peter Principle		- The All-Now Superior Spider-Man battles All-New Sinister Six! - PLUS: Spider-Man and Mary Jane...REUNITED! - PLUS: Slott and Stegman... REUNITED!	Marvel Comics	Superior Spider-Man	Dan Slott	2	75960607912400212
Marco Checchetto		Sibling Rivalry, Part 1		SIBLING RIVALRY BEGINS HERE! - Because you demanded it! Parker versus Parker! The Superior Spider-Man Versus Scarlet Spider! - Kaine has come to New York to check on Peter's 'superior' behavior, not realizing Doc Ock has taken over Peter's life. But Ock sure knows who Kaine is...Kaine, the man who once KILLED Doctor Octopus. And now it's payback time.	Marvel Comics	Superior Spider-Man Team-Up	Christopher Yost	2	75960607953700211
	Michael Turner	The Tornado's Path, Chapter Two: Tornado-Red / Tornado-Blue		As Superman, Batman and Wonder Woman continue their meeting in the Batcave to determine who will make up the new Justice League, several other heroes are investigating different leads that seem to be related to the theft to the Red Tornado's android body from Dr. Magnus' lab.Vixen finds herself confronted by The Bomb Squad at a bar in Hub City while she was trying to look up The Question.  Black Lightning, at the same time, is investigating super-villains who are going missing.  Black Canary, Hal Jordan and Arsenal are tracking Red Tornado's android body to a lab in the Rocky Mountains that was once used by T.O. Morrow. The League is re-building itself, but can it survive if it's three key members don't completely trust one another? As Batman steps aside to talk to Comissioner Gordon, Superman and Wonder Woman take a quick moment to vote whether or not Batman will be part of the League.	DC Comics	Justice League of America, Vol. 2	Brad Meltzer	2	76194125641200211
Salvador Larroca	Salvador Larroca	Trauma			Marvel Comics	Newuniversal	Warren Ellis	2	75960605971300211
	Brandon Peterson	War of the Iron Men, Part Two		Written by FRED VAN LENTE  Penciled by STEVE KURTH Cover by BRANDON PETERSON  Heroic Age Variant by TBA  WAR OF THE IRON MEN! Tony Stark wages a one-man invasion of Transia to hunt down and destroy the renegade Iron Men, setting off an international conflagration that threatens to engulf his friends, his company, and everything he's worked for! All this sets the stage for a jaw-dropping, no-holds-barred, heavy-metal armored slugfest the likes of which you've never seen! When the mysterious source behind the Iron Men is revealed on the last page, you won't believe your eyes?and neither will Tony!	Marvel Comics	Iron Man: Legacy	Fred Van Lente	2	75960607106700211
Jerome Opeña	Dustin Weaver	We Were Avengers		The greatest heroes in comics together on one unbeatable team! Now shipping twice a month, the Avengers 'go large,' expanding their roster and their sphere of influence to a global and even interplanetary level. When Captain America puts out his call - who will answer? Big threats, big ideas, big idealism - these are the Avengers NOW!	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	2	75960607902500211
					Marvel Comics	Ms. Marvel, Vol. 2	Brian Reed	3	75960605828000311
Luke Ross				The thrilling prequel to the Disney adaptation of John Carter World of Mars continues!  Taken prisoner in an underground city controlled by the Warhoon, Dejah Thoris, the Princess of Mars, is forced into an arena to fight for her life! And the only person who can possibly save her is a man who is her sworn enemy.  32 PGS./Rated T+	Marvel Comics	John Carter of Mars: World of Mars	Peter David	3	75960607694900311
Ramón K. Pérez				The epic Edgar Rice Burroughs adaptation continues! - John Carter and friends have escaped countless deaths, but are they running out of lives! - Will Carter get to his long lost love before Dejah Thoris is sacrificed? - Join rising sensations Sam Humphries and Ramon Perez on an incredible journey though the unforgettable worlds of Mars!	Marvel Comics	John Carter: Gods Of Mars	Sam Humphries	3	75960607798400311
John Cassaday	John Cassaday			Red Skull is using his new powers to incite violence against mutants across the globe! - Scarlet Witch and Rogue make a terrible discovery that will haunt them forever! - The UNCANNY AVENGERS feel the full might of Red Skull's S-Men.	Marvel Comics	Uncanny Avengers	Rick Remender	3	75960607826400311
				- The Mad Titan flees his home in search of true love. - But how many lives will he have to take to find it? - The book so blood-soaked you'll be glad it's a mini-series.	Marvel Comics	Thanos Rising	Jason Aaron	3	75960607868400311
				THE BIGGEST NEW BOOK OF THE YEAR CONTINUES! - As the Guardians first story wraps up, the mysteries leading to the next great Marvel event become clearer.	Marvel Comics	Guardians of the Galaxy, Vol. 3	Brian Michael Bendis	3	75960607830100311
Stephen Segovia	Clayton Crain			- IT'S ALIVE! The Wizard finally unveils Carnage's BRAND NEW LOOK and releases his personal AGENT OF EVIL out into the world. - But can the new FRIGHTFUL FOUR control their newest member? Or will the team be destroyed from within? - KEVIN SHINICK (Robot Chicken, Avenging Spider-Man) and STEPHEN SEGOVIA (X-treme X-Men) strike at the heart of their own creation with an electrifying story that shouldn't be missed!	Marvel Comics	Superior Carnage	Kevin Shinick	3	75960607816500311
	Mark 'Jock' Simpson	Infinity		The Illuminati experience their first incursion since reforming. Can the loose brotherhood of end times trust each other enough to use the Infinity Gems in unison? And a new member joins the Illuminati!	Marvel Comics	New Avengers, Vol. 3	Jonathan Hickman	3	75960607910000311
Jerome Opeña	Dustin Weaver	The Garden		'THE GARDEN' - The birth of the New Adam. - On Mars, the Battle between The Avengers and the Garden comes to a dramatic conclusion. - 'If you want LIFE and all the good things living entails, then you'll have to earn it.' --Ex Nihilo	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	3	75960607902500311
	Daniel Acuña	Whatever Happened to All Those Reeds?		Written by JONATHAN HICKMAN Penciled by STEVE EPTING Covers by DANIEL ACU?A Character Variants by MARKO DJURDJEVIC FF #3 X-Men Evolutions Variant by TBA What has become of the surviving members of the Council, loosed upon our world by Valeria? That's what Reed Richards and the new FF must now discover!	Marvel Comics	FF, Vol. 1	Jonathan Hickman	3	75960607495200311
		Age of Ultron, Book Three		For years the heroes of the Marvel Universe have lived in fear that the artificial intelligence known as Ultron would one day evolve to fulfill its desire to wipe out all organic life and take over the Earth -- that day has arrived. This massive 10-part Marvel Universe-spanning event is brought to you by Eisner award-winning writer Brian Michael Bendis and comics legend Bryan Hitch.	Marvel Comics	Age of Ultron	Brian Michael Bendis	3	75960607494500311
	J. Scott Campbell	AvX, Round 3			Marvel Comics	Avengers vs. X-Men		3	75960607748900361
		AvX, The Thing Vs. Colossus / Black Widow Vs. Magik		- All fights, All the time! - Black Widow vs. Magik! - Colossus vs. Thing!	Marvel Comics	AvX vs.	Jeph Loeb; Christopher Yost	3	75960607800400311
	Greg Land	Believe, Part 3: It Makes Us Stronger		- The new Iron Man stealth armor debuts! The most subtle Iron Man armor of all time! - Deep in Columbia the daughter of a cartel boss is 'modified' by EXTREMIS. - Will villains VIBRO, FIREBRAND and THE LIVING LASER stop Tony from doing what he must to save the world from the deadly nano-virus? - An all-new era for Tony Stark from the best-selling UNCANNY X-MEN team of Kieron Gillen and Greg Land!	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	3	75960607909400311
		Best of A Bad Lot, Part 3: Eye Candy			DC Comics	Gen 13, Vol. 4	Gail Simone	3	76194125538500311
		Civil War, Civil Disobedience		Captain America evades capture and gets revenge against Paladin in one combined act.  Meanwhile, Tarantula has created a set of goggles that can identify Skrull DNA, allowing for pursuit of their next case.	Marvel Comics	Heroes For Hire, Vol. 2	Justin Gray; Jimmy Palmiotti	3	75960606005400311
	Juan Doe	Civil War, Civil War		Lazer's plan to manipulate mutants through Johnny Dee is working well, instigating all sorts of rioting and fighting.  Things intially seem to be going well for him, but Val Cooper is one of the people who knows this group well enough to spot psychic manipulation when she sees it.  That seems much less important, however, than the knowledge that Lazer has initiated a self-destruct sequence within the bunker that houses the 198.	Marvel Comics	Civil War: X-Men	David Hine	3	75960605977500311
		Civil War, Young Avengers & Runaways		Noh-Varr is a former Kree soldier, captured and imprisoned on Earth. A prisoner in a facility called the Cube, he was tortured and borken until he was little more than an instrument of the mysterious warden of that place. And now the Warden has set him loose on the Young Avengers and Runaways.Noh-Varr quickly neutralizes several members of both teams, even before they can react. But when the warden of the Cube kidnaps Wiccan, Hulkling and Karolina as well as the mortally wounded Xavin when he retrieves Noh-Varr the two teams unite to take him down (without involving the grownups.)	Marvel Comics	Civil War: Young Avengers & Runaways	Zeb Wells	3	75960605981200311
Ryan Stegman	Ryan Stegman	Everything You Know is Wrong		'Everything You Know Is Wrong.' Is this all-new Spider-Man in cahoots with... J. Jonah Jameson?! Has Carlie Cooper figured out the Superior Spider-Man's secret identity? All this and the return of the villainous Vulture!	Marvel Comics	Superior Spider-Man	Dan Slott	3	75960607912400311
Dale Eaglesham		The Heroic Age		Written by ED BRUBAKER Penciled by DALE EAGLESHAM Cover by CARLOS PACHECO His enemy stands revealed - but that's just the beginning of Steve's problems:  Reverted to his former 98-pound-weakling self, Steve is trapped in the heart of the enemy's lair and fighting for his life! 32 PGS./Rated T+ ?$3.99	Marvel Comics	Steve Rogers: Super-Soldier	Ed Brubaker	3	75960607256900311
Brian Denham	Brian Denham	Hypervelocity, Part 3			Marvel Comics	Iron Man: Hypervelocity	Adam Warren	3	75960605851800311
Frazer Irving	Frazer Irving	The Inevitable, Book Three: Those Who Can't, Teach			Marvel Comics	Iron Man: The Inevitable	Joe Casey	3	75960605847100311
Michael del Mundo		Infinity		- The official Superior Spider-Man Infinity Tie-in! - As Thanos' forces set their sights one earth, there are few heroes left to answer the battle call. - But how many heroes do you really need when the most SUPERIOR one of all is ready to defend his turf. - Featuring the debut of an all-new Sun-Girl!	Marvel Comics	Superior Spider-Man Team-Up	Robert Rodi	3	75960607953700311
Jerome Opeña; Dustin Weaver	Adam Kubert	Infinity, Kingdoms Fall		- Prison break. - Stealing a worldkiller. - The fall of Attilan.	Marvel Comics	Infinity	Jonathan Hickman	3	75960607882000311
	Greg Land	Infinity, No Single Hero		INFINITY TIE-IN! - The Blue Marvel joins the fight - and the Ebony Maw makes his move! - A plague of demons is raging through Manhattan, and the only Avenger who can defeat them is... Spider Hero? What? - Seriously, who is that guy?	Marvel Comics	Mighty Avengers, Vol. 2	Al Ewing	3	75960607959900311
Salvador Larroca	Salvador Larroca	Mathematics			Marvel Comics	Newuniversal	Warren Ellis	3	75960605971300311
Barry Kitson; Kano; Carmine Di Giandomenico	Salvador Larroca	Palmer Addley Is Dead, Part 3		Written by Nick Spencer Art by Barry Kitson Cover by salvador larroca Variant Cover by MARKO DJURDJEVIC  Spinning out of INVINCIBLE IRON MAN! Guest-starring Iron Man! Tony Stark and James Rhodes create the all-new War Machine suit! Rhodey's new mission already nearly killed him. A deadly new super villain poses a threat War Machine can't fight?and to stay alive, he'll have to evolve into something greater than War Machine. Unconventional?combat calls for a different set of weapons?and Rhodey will have to become the one-man army of the future - Iron Man 2.0! 32 PGS./Rated T+	Marvel Comics	Iron Man 2.0	Nick Spencer	3	75960607068800311
		Revelations, Part Three			Image Comics	Voltron: Defender of the Universe, Vol. 1	Dan Jolley	3	70985310557200311
	Michael Turner	The Tornado's Path, Chapter Three: The Brave & The Bold		As Bruce, Clark and Diana meet in the cave to determine who should be part of the new Justice League, many heores are following different leads.  Arsenal, Black Canary and Hal Jordan have tracked Professor Ivo to a remote cabin, where they're confronted by an army of duplicates of Red Tornado's body.  Black Lightning has learned that supervillains were paying the Parasite to temporarily drain their powers so that they could get past scanners, but he's faced by Trident and Dr. Impossible who seek to take the Parasite somewhere.	DC Comics	Justice League of America, Vol. 2	Brad Meltzer	3	76194125641200311
	Juan Doe	War of the Iron Men, Part Three		Written by FRED VAN LENTE Penciled by STEVE KURTH Cover by SALVADOR LARROCA Special Variant by TBA The 'WAR OF THE IRON MEN' escalates, but how! Captured by his enemies, stripped of the Iron Man suit, Tony Stark seems helpless, the way he was back in that cave in Afghanistan all those years ago?but unlike that Tony, this Tony has been taught hand-to-hand combat by Captain America himself! Armor? We don't need no stinking armor?But with an old foe hot on his tail, he might want to rig up a brand-new weapon - and fast! 32 PGS./Rated T+ ?$2.99	Marvel Comics	Iron Man: Legacy	Fred Van Lente	3	75960607106700311
				John Carter pushes himself to the very limits of human endurance as he battles his friend Kantos Kan in the arena, crosses the Martian desert barefoot, and uses the miraculous Ninth Ray to fly... all for the love of a Princess! Filipe Andrade and Harvey Award-winning writer Roger Langridge continue their bold new adaptation of Edgar Rice Burroughs' classic tale! 32 PGS./All Ages	Marvel Comics	John Carter: A Princess of Mars		4	75960607695600411
				The epic Edgar Rice Burroughs adaptation continues! - John Carter continues to battle gods and men-but he's about to face another obstacle he may not be able to fight his way out of!  - Will John be able save his lost love Dejah Thoris and escape the treacherous Valley of Death?   - The very talented Sam Humphries and Ramon Perez bring you a John Carter adventure that has fans raving!	Marvel Comics	John Carter: Gods Of Mars		4	75960607798400411
John Cassaday	John Cassaday			- Red Skull and his S-Men move forward their take over of New York. - A member of the Uncanny Avengers joins the S-Men! - When the chips are down, the fight all but lost, one Avenger must rise and face the terrible might of The Omega Skull!	Marvel Comics	Uncanny Avengers	Rick Remender	4	75960607826400411
Sara Pichelli	Sara Pichelli			- The biggest surprise hit of the year continues as critically acclaimed artist Sara Pichelli (Ultimate Spider-Man) climbs aboard! - Gamora is one the ga	Marvel Comics	Guardians of the Galaxy, Vol. 3	Brian Michael Bendis	4	75960607830100411
				Thanos kills a lot of people.	Marvel Comics	Thanos Rising	Jason Aaron	4	75960607868400411
	Clayton Crain			- It's the moment you've been waiting for! SUPERIOR CARNAGE vs SUPERIOR SPIDER-MAN with enough blood and bluster to rival Sunday nights on HBO.  - KEVIN SHINICK (Avenging Spider-Man) and STEPHEN SEGOVIA (X-Treme X-men) will never have a career in politics after what they've done to the mayor's office.	Marvel Comics	Superior Carnage	Kevin Shinick	4	75960607816500411
Adam Kubert	Dustin Weaver	The Death and Resurrection of Major Titans		'THE DEATH AND RESURRECTION OF MAJOR TITANS' - The Secret Origin of Hyperion. - The Legacy of the Garden unfolds in the Savage Land. - 'We'll have to field test our theories here. NOW.' --Dr. Deeds	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	4	75960607902500411
	Mark 'Jock' Simpson; Mark 'Jock' Simpson	World Eater		'WORLD EATER' - The Illuminati have learned that Earth is the center point for the death of the Universe. - If this is true, doesn't that mean destroying it might save everything else? - Enter the world eater, Galactus.	Marvel Comics	New Avengers, Vol. 3	Jonathan Hickman	4	75960607910000411
		Age of Ultron		- The impossible has happened! - The Earth has been taken by Ultronwhat few super hero survivors there are try desperately to stay alive. - And it is Luke Cage who discovers the secret behind Ultron's victory over all of mankind. - A secret that will have fans of Marvel comics arguing for years to come!	Marvel Comics	Age of Ultron	Brian Michael Bendis	4	75960607494500411
		The Aggressive Approach		'Collateral Damage' The previous Spider-Man promised that Massacre would never kill again... Q: Can the NEW Spider-Man live up to that? A: Probably not.	Marvel Comics	Superior Spider-Man	Dan Slott	4	75960607912400411
Brandon Peterson; Kaare Andrews		AvX, Daredevil Vs. Psylocke / The Mighty Thor Vs. Emma Frost		- THE PREMIERE AVENGERS VS. X-MEN TIE-IN! Two incredible fights every issue, torn from the pages of AvX. - Daredevil vs. Psylocke! By Rick Remender (UNCANNY X-FORCE) and Brandon Peterson (NEW AVENGERS, UNCANNY X-MEN) - Thor vs. [CLASSIFIED] by Kaare Andrews (ULTIMATE COMICS covers, SPIDER-MAN: REIGN)!	Marvel Comics	AvX vs.	Rick Remender; Kaare Andrews	4	75960607800400411
	Greg Land	Believe, Part 4: Fear of the Void		- The new Iron Man heavy-duty battle-suit debuts. The least subtle Iron Man armor of all time! - Tony's hunt for Extremis takes him to the ancient Catacombs of Paris where absolute horror awaits! - Things man was not meant to know Vs. the man who wants to know everything.	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	4	75960607909400411
		Best of A Bad Lot, Part 4: Captive Audience			DC Comics	Gen 13, Vol. 4	Gail Simone	4	76194125538500411
	Juan Doe	Civil War, Civil War		Bishop and Cyclops pool their resources to get through the impenetrable bunker door and save the 198.  The two of them alone aren't enough, and nobody else on site is strong enough to do so.  Unless additional help arrives, most of the world's remaining mutants will die.	Marvel Comics	Civil War: X-Men	David Hine	4	75960605977500411
Steve Lieber	John Watson	Civil War - Embedded, Part 4 / The Accused, Part 4 / Sleeper Cell, Part 2 / Goodnight Saigon		Embedded, Part 4 - Sally continues her work with Typeface's group, but they are overrun with S.H.I.E.L.D. agents.  Meanwhile, Ben Urich is walking his own beat when he's met by a familiar face that he thought would be in jail for life.  The Accused, Part 4 - Robbie has a fight in prison against Toomey, the inmate who has been railing him from the start.  He demonstrates clear capability, and would have won indisputably had someone not cut through his leg.  Shorly after, his powers make a brief comeback.  Sleeper Cell, Part 2 - The officers in charge realize that the victim has no record of any kind, and start runing theories about sleeper agents and insurance scams, not realizing that the most insane theory is actually the correct one.  Goodnight Saigon - The words in this segment are adapted from the lyrics of a Billy Joel song, against drawing parallels to the Marvel Universe.	Marvel Comics	Civil War: Front Line	Paul Jenkins; Billy Joel	4	75960605976800411
		Civil War, Young Avengers & Runaways - Civil War		The Warden takes his operating room off the grid, to better torture Billy, Teddy and Lucy.  This also renders him blind, unable to track activities outside his room, such as the invasion by Runaways and Young Avengers and the Vision's hack job taking control of the facility's computer systems.  While those teams take out the regular guards and incapacitate Noh-Varr, Xavin recovers from his broken neck and frees the other captives.  Once reunited, the teams try to decide what to do with Noh-Varr.  Vision realizes that his nanotechnology has been tampered with, and as a result, Noh-Varr is unable to make his own decisions.  They choose to fix him.  The Runaways and Young Avengers then leave the facility and part ways, while Noh-Varr decides that taking control of the Cube would help his goal of bringing Earth into the Kree Empire.	Marvel Comics	Civil War: Young Avengers & Runaways	Zeb Wells	4	75960605981200411
Dale Eaglesham		The Heroic Age		Steve has discovered the true nature of the plot against him, and he works to find a way to beat Machinesmith.  It's not easy, but with the right help, he should be able to manage it.	Marvel Comics	Steve Rogers: Super-Soldier	Ed Brubaker	4	75960607256900411
Frazer Irving	Frazer Irving	The Inevitable, Book Four: Ordinary People			Marvel Comics	Iron Man: The Inevitable	Joe Casey	4	75960605847100411
Jerome Opeña; Dustin Weaver	Adam Kubert	Infinity, Thane		Negotiating the fall of worlds.  The Illuminati versus Thanos.  Thor, God of War.	Marvel Comics	Infinity	Jonathan Hickman	4	75960607882000411
	Greg Land	Inhumanity		INHUMANITY TIE-IN! - In the aftermath of Infinity, Luke Cage brings his Mighty Avengers together! And a certain Superior someone is not happy about it! - Plus: The birth of the new Ronin! - This solicit sponsored by CORTEX Incorporated. CORTEX. Tomorrow is in our hands.	Marvel Comics	Mighty Avengers, Vol. 2	Al Ewing	4	75960607959900411
Ariel Olivetti	Salvador Larroca	Palmer Addley Is Dead, Part 4		Written by NICK SPENCER Art by ARIEL OLIVETTI Cover by SALVADOR LARROCA Thor Goes Hollywood Variant by TBA PALMER ADDLEY IS DEAD. That mystery has dogged James Rhodes since undertaking his new mission for the Pentagon?but who is Palmer Addley? And what makes him the deadliest super-villain War Machine has ever faced? By breakout star Nick Spencer (T.H.U.N.D.E.R. Agents, Morning Glories) and Ariel Olivetti (NAMOR & INCREDIBLE HERCULES)!	Marvel Comics	Iron Man 2.0	Nick Spencer	4	75960607068800411
		Power, Chapter Four: JLA		Lex Luthor has divided Supergirl into two beings, hoping to gain one as an ally.  That doesn't work out as planned, and the new Supergirl goes on a rampage.	DC Comics	Supergirl, Vol. 5	Jeph Loeb	4	76194124904900411
		Revelations, Part Four			Image Comics	Voltron: Defender of the Universe, Vol. 1	Dan Jolley	4	70985310557200411
	Michael Turner	The Tornado's Path, Chapter Four: Being Human		The two groups forming leagues have both uncovered the threat of Starro.  Batman, Supeman, Wonder Woman, Hawkgirl and Black Lightning are examining the technology to determine the next step, while Hal Jordan, Black Canary, Arsenal and Red Tornado are following the trail of the Red Tornado's original robot shell.	DC Comics	Justice League of America, Vol. 2	Brad Meltzer	4	76194125641200411
	Brandon Peterson	War of the Iron Men, Part Four		Written by FRED VAN LENTE Penciled by STEVE KURTH Cover by BRANDON PETERSON Did we say 'War of the Iron Men?' We meant 'WORLD War of the Iron Men'! Russia and China have gotten involved and sent their own super-powered champions TITANIUM MAN, CRIMSON DYNAMO and RADIOACTIVE MAN to bring Iron Man out of Transia -- dead or alive! It's all-out armored action, and whoever wins, turns out they lose: As the true Big Bad stands ready to swoop in and claim the spoils! 32 PGS./Rated T+ ?$2.99	Marvel Comics	Iron Man: Legacy	Fred Van Lente	4	75960607106700411
Ramón K. Pérez	Julian Totino Tedesco			- After years of separation, John and his long lost love Dejah Thoris are finally reunited! But is it truly a happily-ever-after?  - Issus revealed!  What does the dreaded goddess have in store for John Carter? - It's the final showdown between gods and men!  - The series fans and critics are raving about comes to a thrilling conclusion!	Marvel Comics	John Carter: Gods Of Mars	Sam Humphries	5	75960607798400511
Sara Pichelli	Sara Pichelli			- Spinning out of the dramatic conclusion of Age of Ultron, dimensions collide and Heaven's most fearsome Angel pushes the Guardians back on their heels.	Marvel Comics	Guardians of the Galaxy, Vol. 3	Brian Michael Bendis	5	75960607830100511
Simone Bianchi				- Thanos' Rise is now complete.... setting the stage for Marvel's massive, universe changing event: INFINITY!	Marvel Comics	Thanos Rising	Jason Aaron	5	75960607868400511
	Clayton Crain			- Superior Showdown! Superior Spider-Man versus Superior Carnage-but does the Wizard have one more trick in his mind-controlling hat? - Has Carnage become unleashed for good? - The most nefarious and wicked miniseries of the year comes to an epic conclusion!	Marvel Comics	Superior Carnage	Kevin Shinick	5	75960607816500511
	Mark 'Jock' Simpson	Black Swans		'BLACK SWAN' - Learn the history of the enigmatic Black Swan. - What answers can she provide the Illuminati? - And watch as the New Avengers do the unthinkable!	Marvel Comics	New Avengers, Vol. 3	Jonathan Hickman	5	75960607910000511
Adam Kubert	Dustin Weaver	Superguardian		'SUPERGUARDIAN' - Meet Smasher, the first human member of the IMPERIAL GUARD and an Avenger. - Watch as the Avengers travel across the galaxy to fight off an invading force. - Watch as the Imperial Guard are broken on a dead moon.	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	5	75960607902500511
		Age of Ultron		- The super hero survivors of the Ultron devastation follow a trail to the Savage Land in the hopes of finding a way to survive or turn the tide of the Ultron apocalypse. - But with half the Marvel heroes dead, what chance do any of the survivors have? - The choice that will forever change the course of Marvel history!	Marvel Comics	Age of Ultron	Brian Michael Bendis	5	75960607494500511
		AvX, Round 5		- The fiery conclusion of Act One brought to you by Matt Fraction and John Romita Jr! - Clashing on a lunar battlefield, the tide of the conflict will be turned? - The Phoenix takes its host! All hope is lost?!	Marvel Comics	Avengers vs. X-Men		5	75960607748900551
	Greg Land	Believe, Part 5: Men of the World		EXTREMIS plus the final frontier equals universal doom! - Will Tony have to betray an old friend? - The debut of the All-New Space Armor!	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	5	75960607909400511
		Best of A Bad Lot, Part 5: Grounded			DC Comics	Gen 13, Vol. 4	Gail Simone	5	76194125538500511
	John Watson	Civil War - Embedded, Part 5 / the Accused, Part 5 / Sleeper Cell, Part 3		Ben Urich tries to convince J. Jonah Jameson that he was visited by the Green Goblin, but S.H.I.E.L.D. confirms that Norman Osborne is still in custody.  After calling Jameson a coward for refusing to run the story, Jameson tells him to clear out his desk.  Sally Floyd's luck isn't running any better.  After an unregistered hero tries to tell her to back off her story because she is under S.H.I.E.L.D. surveillance, an agent shows up at her paper ordering her to reveal what she knows.  She and her editor refuse, which gets them placed under arrest.Speedball is transferred, along with other unregistered super-humans to a newly constructed containment facility within the Negative Zone.  As he's transported away from the prison, he gets to see what the public thinks of him, as a massive protest is being staged outside of the prison.  She-Hulk points out that the government is still willing to deal if he'll register, but he still refuses.S.H.I.E.L.D. calls on Wonder-Man to investigate the disappearance of an aquarium owner suspected of working for 'a foriegn interest'.  They blackmail him, threatening to prosecute him for several 'financial irregularities' in his charitable foundation if he refuses.	Marvel Comics	Civil War: Front Line	Paul Jenkins	5	75960605976800511
		Emotional Triggers		'Death Sentence' - How many have to die before the Superior Spider-Man will kill a super villain? - Spider-Man versus Massacre-- with hundreds of lives in the balance.	Marvel Comics	Superior Spider-Man	Dan Slott	5	75960607912400511
Ariel Olivetti	Salvador Larroca	Fear Itself, Part 1		Written by NICK SPENCER Art by ARIEL OLIVETTI Cover by SALVADOR LARROCA FEAR ITSELF TIE-IN One of the major villains of FEAR ITSELF shows up to claim his power and wreak havoc right in the pages of 2.0. Rhodey must join forces with Danny Rand, the Immortal Iron Fist, and the Immortal Weapons if he hopes to win the day!  32 PGS./Rated T+	Marvel Comics	Iron Man 2.0	Nick Spencer	5	75960607068800511
Brian Denham	Brian Denham	Hypervelocity, Part 5		Written by ADAM WARREN Pencils and Cover by BRIAN DENHAM. Escaping to the surface, Tony 2.0 is cast from the figurative frying pan into the fire when he discovers that Absynthe has succeeded in siezing control of the armor, and is now erasing his consciousness from the suit's processors, one memory at a time... Events spiral disastrously out of control as a besieged Iron Man flies directly into a S.H.I.E.L.D. assault carrier's lethal, point-blank barrage of ultra-tech, 'cape-killing' hardware...32 PGS./Rated T  Cover price $2.99.	Marvel Comics	Iron Man: Hypervelocity	Adam Warren	5	75960605851800511
Frazer Irving	Frazer Irving	The Inevitable, Book Five: The Anti-Mask			Marvel Comics	Iron Man: The Inevitable	Joe Casey	5	75960605847100511
Jerome Opeña; Dustin Weaver	Adam Kubert	Infinity, The Left Hand of Death		The Avengers Universe.  The Heroes of Earth rally to defeat Thanos.  The war for Earth begins.	Marvel Comics	Infinity	Jonathan Hickman	5	75960607882000511
	Greg Land	Inhumanity, Out and About		INHUMANITY TIE-IN! - It's the leadership challenge you've been waiting for! Luke vs The Superior Spider-Man - with She-Hulk arbitrating! As in 'arbitrating' a robot's head off! Extreme physical discourtesy the way you crave it, True Believer! - Meanwhile, there's something very rotten in the fallen city of Attilan - and it's shambling towards the Mighty Avengers! - Plus! WHO are the Deathwalkers? Does Ronin know? Wait, hang on, he's DEAD?	Marvel Comics	Mighty Avengers, Vol. 2	Al Ewing	5	75960607959900511
	John Cassaday	Let the Good Times Roll		Wonder Man, Wasp and Sunfire join the team just in time for Grim Reaper's revenge! - Tension between the team builds as Havok's leadership is questioned! - The death of a major character at the hands of an Avenger in broad daylight!	Marvel Comics	Uncanny Avengers	Rick Remender	5	75960607826400511
		Revelations, Part Five			Image Comics	Voltron: Defender of the Universe, Vol. 1	Dan Jolley	5	70985310557200511
Filipe Andrade	Skottie Young	Revolution!		? THE THRILLING CLIMAX TO JOHN CARTER'S FIRST MARTIAN ADVENTURE! ? FAMILIES REUNITED! REGIMES OVERTHROWN! AND THE FINAL FATE OF JOHN CARTER REVEALED! ? THE WEDDING OF PRINCESS DEJAH THORIS - BUT TO WHOM?  ? AND THE GREATEST DANGER MARS HAS EVER FACED - A THREAT TO THE VERY AIR ITSELF!	Marvel Comics	John Carter: A Princess of Mars		5	75960607695600511
		Time and Time Again			Marvel Comics	Ms. Marvel, Vol. 2	Brian Reed	5	75960605828000511
	Michael Turner	The Tornado's Path, Chapter Five: Born Again		The Red Tornado is coping with new purpose of his body, but not very well.  Both teams of Leaguers join forces with each other, and with an old enemy, in hopes of getting to Red Tornado's family before the new Amazo does.	DC Comics	Justice League of America, Vol. 2	Brad Meltzer	5	76194125641200511
